Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration
1264601142,MESU5,08/21/2025 05:20:19 -05:00,08/21/2025 15:10:27 -05:00,6395.750000000,6388.000000000,0.74000,-38.750000000,1,Long,08/21/2025 00:00:00 -05:00,09:50:08.0681410
1228106213,MBTQ5,08/11/2025 19:10:27 -05:00,08/12/2025 14:51:47 -05:00,119070.000000000,120150.000000000,2.34000,108.000000000,1,Long,08/12/2025 00:00:00 -05:00,19:41:20.4212010
1228106214,MBTQ5,08/11/2025 19:10:27 -05:00,08/12/2025 14:51:47 -05:00,119075.000000000,120150.000000000,2.34000,107.500000000,1,Long,08/12/2025 00:00:00 -05:00,19:41:19.7790930
1145291436,MBTN5,07/17/2025 17:15:18 -05:00,07/18/2025 15:10:38 -05:00,120845.000000000,117320.000000000,2.34000,-352.500000000,1,Long,07/18/2025 00:00:00 -05:00,21:55:19.1428010
1145291440,MBTN5,07/18/2025 11:38:00 -05:00,07/18/2025 15:10:38 -05:00,117800.000000000,117320.000000000,2.34000,-48.000000000,1,Long,07/18/2025 00:00:00 -05:00,03:32:37.3782450
1200732171,MBTQ5,08/04/2025 17:01:46 -05:00,08/05/2025 15:10:37 -05:00,115660.000000000,114345.000000000,2.34000,-131.500000000,1,Long,08/05/2025 00:00:00 -05:00,22:08:51.4839900
1258070613,MESU5,08/20/2025 09:44:12 -05:00,08/20/2025 11:20:55 -05:00,6369.250000000,6404.500000000,0.74000,176.250000000,1,Long,08/20/2025 00:00:00 -05:00,01:36:43.5292350
1195272159,MESU5,08/04/2025 08:45:30 -05:00,08/04/2025 15:10:36 -05:00,6328.000000000,6363.500000000,0.74000,-177.500000000,1,Short,08/04/2025 00:00:00 -05:00,06:25:05.7226420
1209694687,MESU5,08/07/2025 07:49:35 -05:00,08/07/2025 09:21:59 -05:00,6408.500000000,6384.500000000,0.74000,120.000000000,1,Short,08/07/2025 00:00:00 -05:00,01:32:24.0474580
1286613332,MESU5,08/28/2025 09:00:51 -05:00,08/28/2025 09:35:39 -05:00,6485.250000000,6488.500000000,0.74000,-16.250000000,1,Short,08/28/2025 00:00:00 -05:00,00:34:48.1360980
1237250782,MBTQ5,08/14/2025 08:16:05 -05:00,08/14/2025 10:32:40 -05:00,119505.000000000,118710.000000000,2.34000,79.500000000,1,Short,08/14/2025 00:00:00 -05:00,02:16:34.8580330
1237250783,MBTQ5,08/14/2025 08:16:06 -05:00,08/14/2025 10:32:40 -05:00,119500.000000000,118710.000000000,2.34000,79.000000000,1,Short,08/14/2025 00:00:00 -05:00,02:16:34.2945750
1247262859,MESU5,08/18/2025 09:58:40 -05:00,08/18/2025 11:00:08 -05:00,6465.250000000,6463.500000000,0.74000,8.750000000,1,Short,08/18/2025 00:00:00 -05:00,01:01:27.4380720
1247872789,MESU5,08/18/2025 12:32:47 -05:00,08/18/2025 12:40:23 -05:00,6473.750000000,6464.250000000,0.74000,47.500000000,1,Short,08/18/2025 00:00:00 -05:00,00:07:35.8136610
1250442763,MESU5,08/18/2025 19:17:43 -05:00,08/19/2025 08:37:27 -05:00,6470.500000000,6458.500000000,0.74000,-60.000000000,1,Long,08/19/2025 00:00:00 -05:00,13:19:43.9471770
